VERSION	0.00.00	1.03.00
FES_MODE	0
BPM_DEF	190.000	190.000	190.000	190.000	
MET_DEF	0	0
RESOLUTION	384
CLK_DEF	384
COMPATIBLE_CODE	MA2

BPM	0	0	190
MET	0	0	4	4

TAP	1	0	7
TAP	1	72	6
TAP	1	96	6
TAP	1	144	5
TAP	1	240	4
TAP	1	336	3
TTP	2	48	6E
TTP	2	96	0E
TTP	2	144	5E
TTP	2	192	1E
TTP	2	240	4E
TTP	2	288	2E
TTP	2	336	0C
TAP	3	0	0
TAP	3	72	1
TAP	3	96	1
TAP	3	144	2
TAP	3	240	3
TAP	3	336	4
TTP	4	48	0E
TTP	4	96	6E
TTP	4	144	1E
TTP	4	192	5E
TTP	4	240	2E
TTP	4	288	4E
TTP	4	336	0C
TAP	5	0	7
TAP	5	48	7
TAP	5	96	6
TAP	5	144	6
TAP	5	192	5
TAP	5	216	4
TAP	5	240	5
TAP	5	288	6
TAP	5	288	3
TAP	5	336	7
TAP	6	0	0
TAP	6	48	0
TAP	6	96	1
TAP	6	144	1
TAP	6	192	2
TAP	6	216	3
TAP	6	240	2
TAP	6	288	4
TAP	6	288	1
TAP	6	336	0
TAP	7	0	4
TAP	7	24	3
TAP	7	48	4
TAP	7	72	3
TAP	7	96	5
TAP	7	120	2
TAP	7	144	5
TAP	7	168	2
TAP	7	192	6
TAP	7	216	1
TAP	7	240	6
TAP	7	264	1
TAP	7	288	7
TAP	7	312	0
TAP	7	336	7
TAP	7	360	0
STR	8	0	6
SI_	8	0	6	96	48	4
TAP	8	0	1
STR	8	96	0
SI_	8	96	0	96	48	2
STR	8	192	7
SI_	8	192	7	96	48	3
TAP	8	288	0
HLD	9	0	2	72
TAP	9	72	3
TAP	9	96	2
TAP	9	144	4
TAP	9	144	1
TAP	9	192	2
TAP	9	240	6
TAP	9	240	3
TAP	9	288	5
TAP	9	336	4
TAP	9	336	1
TAP	10	0	2
TAP	10	24	3
TAP	10	48	2
TAP	10	72	3
TAP	10	96	2
TAP	10	144	4
TAP	10	192	5
TAP	10	192	3
TAP	10	240	6
TAP	10	288	7
TAP	10	288	1
TAP	10	336	0
HLD	11	0	5	72
TAP	11	72	4
TAP	11	96	5
TAP	11	144	6
TAP	11	144	3
TAP	11	192	5
TAP	11	240	4
TAP	11	240	1
TAP	11	288	2
TAP	11	336	6
TAP	11	336	3
TAP	12	0	5
TAP	12	24	4
TAP	12	48	5
TAP	12	72	4
TAP	12	96	5
TAP	12	144	3
TAP	12	192	4
TAP	12	192	2
TAP	12	240	1
TAP	12	288	6
TAP	12	288	0
TAP	12	336	7
HLD	13	0	2	72
TAP	13	72	3
TAP	13	96	2
TAP	13	144	4
TAP	13	144	1
TAP	13	192	2
TAP	13	240	6
TAP	13	240	3
TAP	13	288	5
TAP	13	336	4
TAP	13	336	1
TAP	14	0	2
TAP	14	24	3
TAP	14	48	2
TAP	14	72	3
TAP	14	96	2
TAP	14	144	4
TAP	14	192	4
TAP	14	192	3
TAP	14	240	5
TAP	14	240	2
TAP	14	288	6
TAP	14	288	1
TAP	14	336	7
TAP	14	336	0
HLD	15	0	1	72
TAP	15	72	0
TAP	15	96	1
TAP	15	144	7
TAP	15	144	2
HLD	15	192	6	72
TAP	15	264	7
TAP	15	288	6
TAP	15	336	5
TAP	15	336	0
TAP	16	0	7
TAP	16	24	0
TAP	16	48	7
TAP	16	72	0
TAP	16	96	7
TAP	16	120	0
TAP	16	144	7
TAP	16	168	0
TAP	16	192	7
TAP	16	204	6
TAP	16	216	5
TAP	16	228	4
TAP	16	240	3
TAP	16	252	2
TAP	16	264	1
TAP	16	276	0
TAP	16	288	7
HLD	17	0	2	336
TAP	17	144	3
TAP	17	240	3
STR	17	336	3
SCR	17	336	3	96	144	6
TTP	18	192	1B
TTP	18	192	0B
TTP	18	288	4B
TTP	18	288	3B
HLD	19	0	5	336
TAP	19	144	4
TAP	19	240	4
STR	19	336	4
SCL	19	336	4	96	144	1
TTP	20	192	7B
TTP	20	192	6B
TTP	20	288	4B
TTP	20	288	3B
HLD	21	0	1	336
TAP	21	144	0
TAP	21	240	0
STR	21	336	0
SCL	21	336	0	96	144	5
TTP	22	192	2B
TTP	22	192	1B
TTP	22	288	5B
TTP	22	288	4B
HLD	23	0	6	336
TAP	23	144	7
TAP	23	240	7
STR	23	336	7
SCR	23	336	7	96	144	2
TTP	24	192	6B
TTP	24	192	5B
TTP	24	288	3B
TTP	24	288	2B
TAP	25	0	7
TAP	25	0	0
TAP	25	48	5
TAP	25	72	4
TAP	25	96	5
TAP	25	144	2
TAP	25	168	3
TAP	25	192	2
TAP	25	240	6
TAP	25	264	4
TAP	25	288	5
TAP	25	336	1
TAP	25	360	3
TAP	26	0	2
TAP	26	48	7
TAP	26	72	4
TAP	26	96	5
TAP	26	144	0
TAP	26	168	3
TAP	26	192	2
TAP	26	240	7
TAP	26	264	0
TAP	26	288	7
TAP	26	336	6
TAP	26	336	1
TAP	27	0	6
STR	27	0	1
SCL	27	0	1	96	48	6
TAP	27	96	5
STR	27	192	5
SCL	27	192	5	96	48	2
TAP	27	192	2
TAP	27	288	1
TAP	28	0	7
TAP	28	0	0
TAP	28	48	7
STR	28	48	0
SCR	28	48	0	96	48	3
STR	28	144	7
SCL	28	144	7	96	48	4
STR	28	240	0
SCR	28	240	0	96	48	3
TAP	28	336	7
TAP	29	0	6
TAP	29	48	5
TAP	29	96	4
STR	29	144	3
SCL	29	144	3	96	48	0
STR	29	240	4
SCR	29	240	4	96	48	7
TAP	29	336	3
TAP	30	0	2
TAP	30	48	1
TAP	30	96	0
TAP	30	144	7
TAP	30	192	6
TAP	30	192	4
TAP	30	264	3
TAP	30	264	1
TAP	30	336	4
TAP	30	336	3
TAP	31	0	4
TAP	31	0	3
TAP	31	48	2
TAP	31	96	1
TAP	31	144	4
TAP	31	144	0
TAP	31	192	4
TAP	31	192	0
TAP	31	240	5
TAP	31	288	6
TAP	31	336	7
TAP	31	336	3
TAP	32	0	7
TAP	32	0	3
TAP	32	48	4
TAP	32	48	2
TAP	32	96	5
TAP	32	96	1
TAP	32	144	6
TAP	32	144	0
STR	32	192	7
SI_	32	192	7	96	48	3
STR	32	288	3
SF_	32	288	3	96	48	7
TTP	33	12	0C
STR	33	192	7
SCL	33	192	7	96	48	4
STR	33	192	0
SCR	33	192	0	96	48	3
TTP	33	296	6E
TTP	33	296	0E
TTP	33	304	5E
TTP	33	304	1E
TTP	33	312	4E
TTP	33	312	2E
TAP	34	0	7
TAP	34	16	6
TAP	34	32	5
TAP	34	48	4
TAP	34	96	0
TAP	34	112	1
TAP	34	128	2
TAP	34	144	3
TAP	34	192	7
TAP	34	208	6
TAP	34	224	5
TAP	34	240	4
TAP	34	288	0
TAP	34	304	1
TAP	34	320	2
TAP	34	336	3
TAP	35	0	7
TAP	35	16	6
TAP	35	32	5
TAP	35	48	4
TAP	35	96	0
TAP	35	112	1
TAP	35	128	2
TAP	35	144	3
TAP	35	192	6
TAP	35	240	7
TAP	35	240	5
TAP	35	288	4
TAP	35	288	0
TAP	35	336	3
TAP	35	336	1
STR	36	0	2
SI_	36	0	2	96	48	6
STR	36	96	5
SI_	36	96	5	96	48	3
STR	36	192	1
SI_	36	192	1	96	48	7
STR	36	288	6
SI_	36	288	6	96	48	2
TAP	37	0	0
TAP	37	96	4
TAP	37	96	1
TAP	37	144	4
TAP	37	144	1
TAP	37	192	5
TAP	37	240	6
TAP	37	240	3
